Store,Product,Start Inventory,Sales,Missed Sales,End Inventory,In Transit W+1,In Transit W+2,Holding Cost,Shortage Cost,Cumulative Holding Cost,Cumulative Shortage Cost
23,124,14,4,0.0,10,9,10,2.0,0.0,5.2,2.0
24,126,5,5,6.0,0,0,0,0.0,6.0,2.8,6.0
25,124,12,12,2.0,0,11,14,0.0,2.0,0.4,25.0
25,126,11,0,0.0,11,1,0,2.2,0.0,7.6,0.0
26,126,6,5,0.0,1,3,3,0.2,0.0,1.2,0.0
27,124,11,5,0.0,6,10,11,1.2000000000000002,0.0,1.2000000000000002,14.0
27,126,4,0,0.0,4,2,1,0.8,0.0,1.0,9.0
28,17,24,23,0.0,1,12,22,0.2,0.0,9.4,0.0
28,103,9,5,0.0,4,0,0,0.8,0.0,7.0,0.0
29,17,18,15,0.0,3,9,12,0.6000000000000001,0.0,3.0000000000000004,9.0
30,126,1,0,0.0,1,2,3,0.2,0.0,0.4,2.0
31,126,6,4,0.0,2,0,0,0.4,0.0,3.8,0.0
32,124,11,6,0.0,5,10,11,1.0,0.0,1.0,6.0
32,126,7,0,0.0,7,0,0,1.4,0.0,5.200000000000001,0.0
33,126,6,5,0.0,1,1,0,0.2,0.0,2.8000000000000003,0.0
34,17,19,13,0.0,6,8,7,1.2000000000000002,0.0,4.2,4.0
34,103,7,0,0.0,7,0,0,1.4,0.0,5.200000000000001,0.0
35,17,26,10,0.0,16,8,6,3.2,0.0,9.6,1.0
36,124,11,3,0.0,8,12,11,1.6,0.0,2.2,7.0
36,126,5,0,0.0,5,0,0,1.0,0.0,3.8,0.0
37,103,7,2,0.0,5,2,1,1.0,0.0,4.2,0.0
38,126,2,0,0.0,2,0,2,0.4,0.0,2.8,0.0
39,17,12,11,0.0,1,7,7,0.2,0.0,2.2,1.0
40,17,11,11,24.0,0,11,13,0.0,24.0,0.0,58.0
40,103,5,5,0.0,0,0,0,0.0,0.0,3.6,0.0
41,17,25,15,0.0,10,8,6,2.0,0.0,8.6,0.0
41,103,2,0,0.0,2,2,2,0.4,0.0,1.2000000000000002,1.0
42,17,6,6,1.0,0,4,5,0.0,1.0,0.8,4.0
42,103,2,0,0.0,2,2,1,0.4,0.0,1.0,2.0
43,17,11,6,0.0,5,5,5,1.0,0.0,2.2,3.0
44,17,18,14,0.0,4,9,13,0.8,0.0,5.8,0.0
44,103,3,0,0.0,3,2,1,0.6000000000000001,0.0,2.8000000000000003,0.0
45,17,32,12,0.0,20,7,11,4.0,0.0,16.6,0.0
45,103,10,0,0.0,10,0,0,2.0,0.0,8.4,0.0
46,126,5,0,0.0,5,0,2,1.0,0.0,4.4,0.0
47,124,9,7,0.0,2,7,8,0.4,0.0,1.2000000000000002,7.0
48,126,8,0,0.0,8,0,0,1.6,0.0,7.0,0.0
49,17,23,9,0.0,14,9,7,2.8000000000000003,0.0,6.2,13.0
49,103,6,0,0.0,6,0,0,1.2000000000000002,0.0,5.6000000000000005,0.0
50,126,3,0,0.0,3,4,5,0.6000000000000001,0.0,1.6,5.0
51,124,7,7,3.0,0,8,10,0.0,3.0,0.2,18.0
52,126,3,3,0.0,0,0,2,0.0,0.0,3.8,0.0
52,239,3,0,0.0,3,0,0,0.6000000000000001,0.0,1.8000000000000005,0.0
53,17,21,11,0.0,10,9,7,2.0,0.0,5.0,7.0
54,17,13,13,0.0,0,11,11,0.0,0.0,1.0,3.0
54,103,4,2,0.0,2,1,0,0.4,0.0,1.7999999999999998,0.0
55,103,7,2,0.0,5,0,0,1.0,0.0,5.2,0.0
56,126,1,1,1.0,0,1,2,0.0,1.0,1.6,1.0
57,17,15,3,0.0,12,7,6,2.4000000000000004,0.0,6.200000000000001,0.0
58,17,18,6,0.0,12,6,8,2.4000000000000004,0.0,6.2,1.0
59,126,4,3,0.0,1,1,1,0.2,0.0,1.8,0.0
60,2,2,2,0.0,0,1,1,0.0,0.0,0.4,2.0
60,3,1,0,0.0,1,2,3,0.2,0.0,0.8,0.0
60,4,4,3,0.0,1,1,1,0.2,0.0,1.2,3.0
60,7,1,0,0.0,1,1,2,0.2,0.0,0.2,2.0
60,8,4,3,0.0,1,0,0,0.2,0.0,1.2,1.0
60,10,2,0,0.0,2,1,1,0.4,0.0,1.0,0.0
60,18,1,1,0.0,0,1,1,0.0,0.0,0.0,0.0
60,19,1,1,1.0,0,0,2,0.0,1.0,0.2,3.0
60,20,1,0,0.0,1,0,2,0.2,0.0,0.4,1.0
60,21,1,1,1.0,0,1,1,0.0,1.0,0.0,3.0
60,22,1,0,0.0,1,1,2,0.2,0.0,0.4,3.0
60,23,94,52,0.0,42,78,41,8.4,0.0,13.8,71.0
60,25,2,0,0.0,2,2,2,0.4,0.0,1.2000000000000002,2.0
60,28,3,0,0.0,3,0,0,0.6000000000000001,0.0,2.0,0.0
60,29,2,0,0.0,2,2,1,0.4,0.0,2.4,0.0
60,30,4,0,0.0,4,0,1,0.8,0.0,3.0,0.0
60,33,1,1,1.0,0,1,1,0.0,1.0,0.0,4.0
60,39,1,1,1.0,0,1,1,0.0,1.0,0.0,4.0
60,40,1,0,0.0,1,0,2,0.2,0.0,1.2,1.0
60,41,3,0,0.0,3,0,0,0.6000000000000001,0.0,2.2,0.0
60,42,2,0,0.0,2,1,1,0.4,0.0,0.6000000000000001,3.0
60,45,3,1,0.0,2,3,3,0.4,0.0,1.2000000000000002,4.0
60,47,17,15,0.0,2,13,14,0.4,0.0,0.4,29.0
60,48,17,15,0.0,2,12,11,0.4,0.0,0.8,22.0
60,49,1,1,1.0,0,1,1,0.0,1.0,0.0,3.0
60,51,3,0,0.0,3,1,1,0.6000000000000001,0.0,1.8000000000000005,0.0
60,55,1,1,2.0,0,3,2,0.0,2.0,0.4,9.0
60,56,2,1,0.0,1,0,1,0.2,0.0,2.0,0.0
60,61,2,1,0.0,1,0,1,0.2,0.0,1.4,0.0
60,64,1,1,0.0,0,1,2,0.0,0.0,0.0,3.0
60,65,1,0,0.0,1,1,1,0.2,0.0,0.4,1.0
60,67,3,0,0.0,3,0,1,0.6000000000000001,0.0,2.2,0.0
60,87,0,0,2.0,0,2,3,0.0,2.0,0.8,9.0
60,88,3,2,0.0,1,3,4,0.2,0.0,0.4,12.0
60,89,1,0,0.0,1,1,1,0.2,0.0,0.2,3.0
60,91,0,0,1.0,0,0,2,0.0,1.0,0.6000000000000001,2.0
60,92,1,0,0.0,1,1,2,0.2,0.0,0.2,3.0
60,94,0,0,0.0,0,1,2,0.0,0.0,0.4,2.0
60,99,5,2,0.0,3,7,8,0.6000000000000001,0.0,1.6,5.0
60,100,0,0,0.0,0,1,2,0.0,0.0,0.8,2.0
60,105,5,5,1.0,0,2,0,0.0,1.0,0.4,4.0
60,106,1,1,1.0,0,1,1,0.0,1.0,0.4,1.0
60,109,6,6,2.0,0,6,7,0.0,2.0,0.0,15.0
60,111,0,0,1.0,0,1,2,0.0,1.0,0.4,3.0
60,112,0,0,1.0,0,1,2,0.0,1.0,0.2,4.0
60,114,1,0,0.0,1,1,2,0.2,0.0,1.8,0.0
60,116,2,2,0.0,0,0,0,0.0,0.0,2.0,0.0
60,121,1,0,0.0,1,1,1,0.2,0.0,0.4,1.0
60,122,2,1,0.0,1,1,1,0.2,0.0,0.4,1.0
60,124,11,8,0.0,3,8,6,0.6000000000000001,0.0,2.0,1.0
60,125,94,69,0.0,25,88,85,5.0,0.0,6.2,32.0
60,126,29,2,0.0,27,0,0,5.4,0.0,20.4,0.0
60,128,2,0,0.0,2,1,2,0.4,0.0,0.8,3.0
60,153,0,0,1.0,0,1,2,0.0,1.0,0.8,2.0
60,154,1,1,2.0,0,2,4,0.0,2.0,0.0,11.0
60,156,2,2,4.0,0,2,2,0.0,4.0,0.2,10.0
60,163,2,1,0.0,1,1,1,0.2,0.0,1.2,0.0
60,164,1,1,0.0,0,1,2,0.0,0.0,0.6000000000000001,3.0
60,165,2,0,0.0,2,0,1,0.4,0.0,1.6,0.0
60,166,3,2,0.0,1,1,0,0.2,0.0,0.8,2.0
60,167,1,1,1.0,0,1,2,0.0,1.0,0.0,4.0
60,168,3,3,0.0,0,0,0,0.0,0.0,1.4,0.0
60,169,1,1,0.0,0,1,2,0.0,0.0,0.6000000000000001,2.0
60,170,1,1,0.0,0,1,2,0.0,0.0,0.4,2.0
60,172,3,1,0.0,2,1,0,0.4,0.0,1.2000000000000002,0.0
60,174,3,3,2.0,0,1,1,0.0,2.0,0.4,3.0
60,175,2,2,0.0,0,1,1,0.0,0.0,0.6000000000000001,0.0
60,176,2,0,0.0,2,1,1,0.4,0.0,0.6000000000000001,1.0
60,180,2,0,0.0,2,1,1,0.4,0.0,1.6,0.0
60,192,1,0,0.0,1,1,1,0.2,0.0,0.2,2.0
60,201,2,1,0.0,1,1,1,0.2,0.0,0.8,1.0
60,210,1,0,0.0,1,0,2,0.2,0.0,1.2,0.0
60,211,1,1,0.0,0,1,2,0.0,0.0,0.8,0.0
60,213,3,1,0.0,2,1,0,0.4,0.0,1.2000000000000002,1.0
60,214,3,3,0.0,0,3,4,0.0,0.0,0.0,16.0
60,215,1,0,0.0,1,1,1,0.2,0.0,0.4,2.0
60,216,1,1,1.0,0,2,2,0.0,1.0,0.0,7.0
60,226,7,5,0.0,2,2,1,0.4,0.0,1.4,7.0
60,229,2,1,0.0,1,1,2,0.2,0.0,0.6000000000000001,1.0
60,235,10,1,0.0,9,0,0,1.8,0.0,6.6,0.0
60,236,10,0,0.0,10,0,0,2.0,0.0,8.0,0.0
60,237,9,0,0.0,9,0,0,1.8,0.0,7.399999999999999,0.0
60,240,1,1,0.0,0,1,1,0.0,0.0,0.0,5.0
60,243,0,0,1.0,0,1,2,0.0,1.0,0.6000000000000001,1.0
60,250,4,0,0.0,4,0,0,0.8,0.0,3.4000000000000004,0.0
60,263,2,0,0.0,2,1,1,0.4,0.0,1.4,0.0
60,265,2,2,0.0,0,1,1,0.0,0.0,1.2000000000000002,0.0
60,266,2,0,0.0,2,1,1,0.4,0.0,1.6,0.0
60,267,3,0,0.0,3,0,0,0.6000000000000001,0.0,1.8000000000000005,0.0
60,268,3,0,0.0,3,1,0,0.6000000000000001,0.0,1.2000000000000002,1.0
60,270,2,1,0.0,1,1,1,0.2,0.0,0.8,2.0
60,272,0,0,0.0,0,0,2,0.0,0.0,0.8,0.0
60,276,2,0,0.0,2,0,1,0.4,0.0,1.4,0.0
60,278,2,0,0.0,2,0,1,0.4,0.0,2.6,0.0
60,279,1,0,0.0,1,1,1,0.2,0.0,1.0,0.0
60,280,2,0,0.0,2,0,1,0.4,0.0,1.4,0.0
60,281,1,1,1.0,0,0,2,0.0,1.0,1.0,1.0
60,282,2,1,0.0,1,1,1,0.2,0.0,1.4,0.0
60,289,1,0,0.0,1,1,1,0.2,0.0,0.2,1.0
60,296,3,0,0.0,3,0,0,0.6000000000000001,0.0,1.2000000000000002,0.0
61,0,1,0,0.0,1,1,2,0.2,0.0,0.4,7.0
61,2,0,0,3.0,0,0,2,0.0,3.0,2.2,5.0
61,3,4,2,0.0,2,1,1,0.4,0.0,1.0,0.0
61,4,4,2,0.0,2,2,1,0.4,0.0,1.2000000000000002,3.0
61,5,1,0,0.0,1,1,1,0.2,0.0,0.2,0.0
61,7,5,1,0.0,4,0,0,0.8,0.0,2.0,0.0
61,8,5,1,0.0,4,1,1,0.8,0.0,3.4000000000000004,0.0
61,9,3,0,0.0,3,0,0,0.6000000000000001,0.0,2.0,0.0
61,10,2,2,0.0,0,1,1,0.0,0.0,0.2,2.0
61,11,3,2,0.0,1,0,1,0.2,0.0,1.8,0.0
61,12,0,0,1.0,0,0,2,0.0,1.0,0.4,3.0
61,13,2,0,0.0,2,1,0,0.4,0.0,0.6000000000000001,1.0
61,14,2,1,0.0,1,0,1,0.2,0.0,1.6,0.0
61,15,4,3,0.0,1,5,6,0.2,0.0,1.6,5.0
61,19,2,1,0.0,1,1,1,0.2,0.0,0.8,0.0
61,20,1,0,0.0,1,1,2,0.2,0.0,0.6000000000000001,1.0
61,21,2,1,0.0,1,1,0,0.2,0.0,0.4,2.0
61,22,2,2,1.0,0,1,1,0.0,1.0,0.8,2.0
61,23,118,106,0.0,12,87,53,2.4000000000000004,0.0,13.6,27.0
61,24,3,3,2.0,0,1,1,0.0,2.0,1.7999999999999998,2.0
61,26,0,0,0.0,0,2,2,0.0,0.0,0.6000000000000001,2.0
61,27,9,0,0.0,9,0,0,1.8,0.0,8.200000000000001,0.0
61,29,5,0,0.0,5,0,0,1.0,0.0,4.2,0.0
61,30,6,0,0.0,6,0,0,1.2000000000000002,0.0,5.2,0.0
61,31,0,0,1.0,0,0,2,0.0,1.0,1.2000000000000002,1.0
61,32,3,2,0.0,1,0,1,0.2,0.0,2.2,0.0
61,33,2,1,0.0,1,1,1,0.2,0.0,0.4,1.0
61,34,4,1,0.0,3,0,0,0.6000000000000001,0.0,2.6,0.0
61,35,1,1,0.0,0,1,1,0.0,0.0,0.2,2.0
61,36,3,0,0.0,3,1,0,0.6000000000000001,0.0,1.4,0.0
61,37,3,2,0.0,1,0,0,0.2,0.0,0.8,0.0
61,38,2,1,0.0,1,2,2,0.2,0.0,0.6000000000000001,5.0
61,39,4,2,0.0,2,4,3,0.4,0.0,0.6000000000000001,9.0
61,42,1,1,0.0,0,1,2,0.0,0.0,1.8000000000000005,2.0
61,43,4,1,0.0,3,0,0,0.6000000000000001,0.0,2.6,0.0
61,44,3,0,0.0,3,0,1,0.6000000000000001,0.0,2.0,0.0
61,45,3,0,0.0,3,2,2,0.6000000000000001,0.0,2.0,0.0
61,46,0,0,3.0,0,0,2,0.0,3.0,1.2000000000000002,3.0
61,47,36,24,0.0,12,34,33,2.4000000000000004,0.0,8.200000000000001,20.0
61,48,41,31,0.0,10,40,32,2.0,0.0,7.0,27.0
61,49,1,1,0.0,0,2,2,0.0,0.0,0.4,4.0
61,50,3,0,0.0,3,0,1,0.6000000000000001,0.0,2.8000000000000003,0.0
61,51,2,1,0.0,1,1,1,0.2,0.0,1.6,0.0
61,52,4,0,0.0,4,0,0,0.8,0.0,2.8,0.0
61,53,3,1,0.0,2,1,0,0.4,0.0,1.0,1.0
61,54,9,8,0.0,1,9,10,0.2,0.0,1.0,29.0
61,57,4,1,0.0,3,0,0,0.6000000000000001,0.0,1.4,1.0
61,58,3,0,0.0,3,1,0,0.6000000000000001,0.0,1.4,0.0
61,59,2,0,0.0,2,1,1,0.4,0.0,1.4,0.0
61,60,3,0,0.0,3,0,0,0.6000000000000001,0.0,2.0,0.0
61,61,3,0,0.0,3,2,1,0.6000000000000001,0.0,0.8,4.0
61,62,5,5,0.0,0,3,7,0.0,0.0,1.6,1.0
61,63,3,0,0.0,3,0,0,0.6000000000000001,0.0,2.2,0.0
61,64,1,0,0.0,1,1,3,0.2,0.0,1.6,6.0
61,65,2,1,0.0,1,0,1,0.2,0.0,3.2,0.0
61,66,3,0,0.0,3,1,0,0.6000000000000001,0.0,1.2000000000000002,1.0
61,67,1,1,0.0,0,1,2,0.0,0.0,0.4,2.0
61,68,1,1,0.0,0,2,2,0.0,0.0,0.0,4.0
61,69,5,0,0.0,5,0,0,1.0,0.0,2.4,1.0
61,70,3,0,0.0,3,1,0,0.6000000000000001,0.0,1.6,1.0
61,71,2,0,0.0,2,1,1,0.4,0.0,0.4,4.0
61,73,2,0,0.0,2,1,0,0.4,0.0,0.8,1.0
61,75,2,1,0.0,1,0,1,0.2,0.0,0.6000000000000001,0.0
61,76,0,0,6.0,0,1,2,0.0,6.0,0.4,9.0
61,78,2,0,0.0,2,1,0,0.4,0.0,1.7999999999999998,0.0
61,79,2,2,0.0,0,1,1,0.0,0.0,0.2,1.0
61,80,4,2,0.0,2,2,1,0.4,0.0,1.6,0.0
61,81,3,0,0.0,3,0,1,0.6000000000000001,0.0,2.6,0.0
61,82,1,1,0.0,0,2,1,0.0,0.0,0.2,6.0
61,83,0,0,1.0,0,1,2,0.0,1.0,1.0,1.0
61,85,1,1,0.0,0,0,1,0.0,0.0,1.4,0.0
61,87,6,2,0.0,4,2,1,0.8,0.0,3.2,0.0
61,88,8,1,0.0,7,2,2,1.4,0.0,3.4000000000000004,0.0
61,89,1,0,0.0,1,1,2,0.2,0.0,0.4,1.0
61,91,1,0,0.0,1,1,1,0.2,0.0,0.4,2.0
61,92,1,0,0.0,1,1,1,0.2,0.0,1.0,0.0
61,94,1,1,0.0,0,2,1,0.0,0.0,0.4,2.0
61,95,3,2,0.0,1,0,0,0.2,0.0,2.2,0.0
61,98,3,1,0.0,2,0,0,0.4,0.0,1.7999999999999998,0.0
61,99,19,9,0.0,10,8,6,2.0,0.0,6.6000000000000005,0.0
61,100,3,1,0.0,2,1,0,0.4,0.0,1.6,0.0
61,101,1,0,0.0,1,0,1,0.2,0.0,1.2,0.0
61,105,2,2,0.0,0,1,1,0.0,0.0,0.2,6.0
61,107,1,0,0.0,1,1,2,0.2,0.0,0.6000000000000001,5.0
61,108,3,0,0.0,3,0,0,0.6000000000000001,0.0,1.8000000000000005,0.0
61,109,13,12,0.0,1,10,10,0.2,0.0,2.8000000000000003,1.0
61,110,1,0,0.0,1,1,1,0.2,0.0,0.2,2.0
61,113,2,1,0.0,1,1,1,0.2,0.0,1.0,1.0
61,114,3,1,0.0,2,3,4,0.4,0.0,0.4,4.0
61,115,0,0,0.0,0,1,2,0.0,0.0,0.6000000000000001,1.0
61,119,4,1,0.0,3,0,0,0.6000000000000001,0.0,2.6,0.0
61,120,1,0,0.0,1,1,2,0.2,0.0,0.4,3.0
61,121,2,2,0.0,0,1,1,0.0,0.0,1.2000000000000002,0.0
61,123,6,0,0.0,6,2,0,1.2000000000000002,0.0,2.2,0.0
61,124,95,90,0.0,5,95,83,1.0,0.0,12.6,93.0
61,126,32,0,0.0,32,0,0,6.4,0.0,27.4,0.0
61,127,4,0,0.0,4,0,0,0.8,0.0,2.2,0.0
61,128,7,1,0.0,6,1,0,1.2000000000000002,0.0,2.4000000000000004,2.0
61,129,4,2,0.0,2,3,2,0.4,0.0,0.6000000000000001,6.0
61,130,10,4,0.0,6,3,0,1.2000000000000002,0.0,2.8000000000000003,0.0
61,131,4,3,0.0,1,3,2,0.2,0.0,0.4,4.0
61,132,1,1,5.0,0,1,2,0.0,5.0,0.8,5.0
61,133,5,3,0.0,2,3,3,0.4,0.0,2.0,0.0
61,134,0,0,0.0,0,1,1,0.0,0.0,0.4,0.0
61,135,1,0,0.0,1,1,3,0.2,0.0,3.6000000000000005,0.0
61,136,4,0,0.0,4,3,2,0.8,0.0,2.6,0.0
61,137,1,0,0.0,1,0,1,0.2,0.0,1.2,0.0
61,138,1,1,0.0,0,1,1,0.0,0.0,0.4,1.0
61,139,3,0,0.0,3,0,0,0.6000000000000001,0.0,2.0,0.0
61,140,2,2,5.0,0,0,1,0.0,5.0,1.2000000000000002,5.0
61,141,1,1,2.0,0,1,4,0.0,2.0,2.4000000000000004,7.0
61,142,1,0,0.0,1,1,1,0.2,0.0,0.6000000000000001,1.0
61,144,2,2,2.0,0,0,1,0.0,2.0,1.7999999999999998,2.0
61,145,3,1,0.0,2,1,0,0.4,0.0,1.2000000000000002,1.0
61,146,1,1,0.0,0,1,1,0.0,0.0,0.4,1.0
61,148,5,0,0.0,5,0,0,1.0,0.0,4.4,0.0
61,149,2,2,0.0,0,1,3,0.0,0.0,0.4,3.0
61,150,3,3,1.0,0,2,3,0.0,1.0,1.2,1.0
61,152,1,1,1.0,0,1,3,0.0,1.0,1.0,3.0
61,153,4,1,0.0,3,0,0,0.6000000000000001,0.0,3.2,0.0
61,154,8,2,0.0,6,2,1,1.2000000000000002,0.0,5.2,0.0
61,155,4,1,0.0,3,1,1,0.6000000000000001,0.0,2.6,0.0
61,156,2,2,0.0,0,2,2,0.0,0.0,0.2,1.0
61,157,3,0,0.0,3,0,0,0.6000000000000001,0.0,3.0,0.0
61,158,2,1,0.0,1,1,0,0.2,0.0,0.2,3.0
61,166,0,0,3.0,0,1,2,0.0,3.0,0.4,3.0
61,167,1,1,0.0,0,1,1,0.0,0.0,0.0,4.0
61,168,3,0,0.0,3,0,0,0.6000000000000001,0.0,1.8000000000000005,0.0
61,173,1,0,0.0,1,1,1,0.2,0.0,0.4,3.0
61,175,2,2,0.0,0,1,1,0.0,0.0,0.8,0.0
61,178,3,2,0.0,1,1,1,0.2,0.0,0.6000000000000001,0.0
61,179,2,0,0.0,2,1,1,0.4,0.0,1.7999999999999998,0.0
61,180,5,5,3.0,0,1,2,0.0,3.0,2.0,3.0
61,181,1,0,0.0,1,2,2,0.2,0.0,1.0,0.0
61,183,2,0,0.0,2,1,1,0.4,0.0,1.2000000000000002,1.0
61,184,2,0,0.0,2,1,1,0.4,0.0,0.6000000000000001,1.0
61,185,1,0,0.0,1,0,1,0.2,0.0,1.4,0.0
61,187,2,0,0.0,2,1,0,0.4,0.0,1.2000000000000002,2.0
61,188,2,0,0.0,2,0,1,0.4,0.0,1.7999999999999998,0.0
61,190,1,1,0.0,0,1,1,0.0,0.0,0.6000000000000001,2.0
61,192,2,0,0.0,2,0,1,0.4,0.0,1.6,0.0
61,194,1,0,0.0,1,1,1,0.2,0.0,0.4,2.0
61,195,2,0,0.0,2,1,1,0.4,0.0,0.8,2.0
61,196,2,0,0.0,2,1,0,0.4,0.0,0.6000000000000001,1.0
61,197,1,0,0.0,1,1,1,0.2,0.0,0.2,1.0
61,198,0,0,0.0,0,1,2,0.0,0.0,0.2,2.0
61,199,6,1,0.0,5,1,2,1.0,0.0,4.8,0.0
61,200,5,1,0.0,4,2,1,0.8,0.0,1.4,2.0
61,201,0,0,2.0,0,2,4,0.0,2.0,2.0,2.0
61,202,4,4,0.0,0,1,0,0.0,0.0,1.6,0.0
61,208,1,1,0.0,0,0,2,0.0,0.0,0.8,0.0
61,210,3,2,0.0,1,3,3,0.2,0.0,0.2,2.0
61,211,2,2,2.0,0,2,1,0.0,2.0,0.2,3.0
61,212,3,1,0.0,2,1,0,0.4,0.0,1.2000000000000002,0.0
61,213,4,2,0.0,2,0,0,0.4,0.0,2.0,0.0
61,214,10,5,0.0,5,5,3,1.0,0.0,2.2,2.0
61,215,0,0,0.0,0,1,2,0.0,0.0,0.4,2.0
61,216,5,0,0.0,5,1,1,1.0,0.0,4.0,0.0
61,217,4,0,0.0,4,0,0,0.8,0.0,3.0,0.0
61,218,3,3,0.0,0,1,2,0.0,0.0,1.7999999999999998,0.0
61,219,2,1,0.0,1,0,1,0.2,0.0,1.2,0.0
61,220,3,0,0.0,3,1,1,0.6000000000000001,0.0,1.8000000000000005,0.0
61,221,2,0,0.0,2,1,1,0.4,0.0,0.6000000000000001,0.0
61,222,3,0,0.0,3,1,0,0.6000000000000001,0.0,1.2000000000000002,1.0
61,223,1,1,0.0,0,1,1,0.0,0.0,0.2,1.0
61,224,2,0,0.0,2,1,2,0.4,0.0,3.4,0.0
61,226,7,1,0.0,6,9,9,1.2000000000000002,0.0,1.4,20.0
61,230,1,0,0.0,1,0,1,0.2,0.0,1.2,0.0
61,231,1,1,0.0,0,1,1,0.0,0.0,0.4,1.0
61,232,0,0,2.0,0,1,2,0.0,2.0,0.6000000000000001,4.0
61,233,4,1,0.0,3,0,0,0.6000000000000001,0.0,2.2,0.0
61,234,0,0,0.0,0,1,1,0.0,0.0,0.8,2.0
61,238,1,0,0.0,1,1,1,0.2,0.0,0.4,2.0
61,239,2,1,0.0,1,1,1,0.2,0.0,0.8,1.0
61,241,1,1,0.0,0,1,1,0.0,0.0,0.2,2.0
61,242,1,1,0.0,0,1,1,0.0,0.0,0.2,2.0
61,244,4,0,0.0,4,0,0,0.8,0.0,2.8,0.0
61,245,3,1,0.0,2,0,0,0.4,0.0,1.6,0.0
61,246,2,0,0.0,2,1,1,0.4,0.0,0.8,1.0
61,247,1,1,0.0,0,1,1,0.0,0.0,0.0,0.0
61,248,3,0,0.0,3,1,0,0.6000000000000001,0.0,1.4,0.0
61,249,2,1,0.0,1,1,1,0.2,0.0,0.4,0.0
61,251,3,0,0.0,3,1,0,0.6000000000000001,0.0,1.4,0.0
61,252,4,0,0.0,4,0,1,0.8,0.0,2.8,0.0
61,253,3,1,0.0,2,0,1,0.4,0.0,1.6,0.0
61,254,3,0,0.0,3,0,1,0.6000000000000001,0.0,2.4000000000000004,0.0
61,255,0,0,5.0,0,1,2,0.0,5.0,0.6000000000000001,8.0
61,256,0,0,3.0,0,1,2,0.0,3.0,0.4,3.0
61,257,2,0,0.0,2,1,1,0.4,0.0,0.8,2.0
61,258,3,1,0.0,2,0,1,0.4,0.0,2.2000000000000006,0.0
61,259,2,0,0.0,2,1,1,0.4,0.0,1.4,0.0
61,260,2,1,0.0,1,0,1,0.2,0.0,1.4,0.0
61,261,2,0,0.0,2,0,1,0.4,0.0,1.4,1.0
61,262,4,1,0.0,3,0,0,0.6000000000000001,0.0,3.2,0.0
61,263,4,1,0.0,3,0,0,0.6000000000000001,0.0,2.6,0.0
61,264,3,0,0.0,3,1,0,0.6000000000000001,0.0,1.4,0.0
61,265,2,2,0.0,0,0,1,0.0,0.0,2.2,0.0
61,266,1,0,0.0,1,1,1,0.2,0.0,1.4,0.0
61,267,3,1,0.0,2,0,0,0.4,0.0,2.0,0.0
61,268,2,1,0.0,1,0,1,0.2,0.0,1.6,0.0
