date,day_of_week,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,year,day_of_month,days_from_christmas,week_of_year,weeks_since_start,year_fraction,month_sin,month_cos,week_sin,week_cos,is_month_end,is_quarter_end,is_holiday_week,days_from_easter,days_from_thanksgiving,days_from_black_friday,days_from_newyear,days_from_valentines,days_from_mothers_day,days_from_fathers_day,days_from_halloween,days_from_back_to_school,weeks_to_competition_start,is_competition_period
2021-06-21,0,0,0,0,0,0,1,0,0,0,0,0,0,2021,21,178,25,10,2021.4615384615386,0.49999999999999994,-0.8660254037844387,0.23931566428755768,-0.970941817426052,0,0,1,78,-157,-158,171,127,43,1,-132,-55,199.14285714285714,0
2021-06-28,0,0,0,0,0,0,1,0,0,0,0,0,0,2021,28,-180,26,11,2021.4807692307693,0.49999999999999994,-0.8660254037844387,0.12053668025532308,-0.992708874098054,0,0,0,85,-150,-151,178,134,50,8,-125,-48,198.14285714285714,0
2021-07-05,0,0,0,0,0,0,0,1,0,0,0,0,0,2021,5,-173,27,12,2021.5,1.2246467991473532e-16,-1.0,-3.216245299353273e-16,-1.0,0,0,0,92,-143,-144,-180,141,57,15,-118,-41,197.14285714285714,0
2021-07-12,0,0,0,0,0,0,0,1,0,0,0,0,0,2021,12,-166,28,13,2021.5192307692307,1.2246467991473532e-16,-1.0,-0.12053668025532283,-0.992708874098054,0,0,0,99,-136,-137,-173,148,64,22,-111,-34,196.14285714285714,0
2021-07-19,0,0,0,0,0,0,0,1,0,0,0,0,0,2021,19,-159,29,14,2021.5384615384614,1.2246467991473532e-16,-1.0,-0.23931566428755743,-0.9709418174260521,0,0,0,106,-129,-130,-166,155,71,29,-104,-27,195.14285714285714,0
2021-07-26,0,0,0,0,0,0,0,1,0,0,0,0,0,2021,26,-152,30,15,2021.5576923076924,1.2246467991473532e-16,-1.0,-0.3546048870425356,-0.9350162426854148,0,0,0,113,-122,-123,-159,162,78,36,-97,-20,194.14285714285714,0
2021-08-02,0,0,0,0,0,0,0,0,1,0,0,0,0,2021,2,-145,31,16,2021.576923076923,-0.4999999999999997,-0.8660254037844388,-0.46472317204376806,-0.8854560256532101,0,0,0,120,-115,-116,-152,169,85,43,-90,-13,193.14285714285714,0
2021-08-09,0,0,0,0,0,0,0,0,1,0,0,0,0,2021,9,-138,32,17,2021.5961538461538,-0.4999999999999997,-0.8660254037844388,-0.5680647467311556,-0.8229838658936565,0,0,0,127,-108,-109,-145,176,92,50,-83,-6,192.14285714285714,0
2021-08-16,0,0,0,0,0,0,0,0,1,0,0,0,0,2021,16,-131,33,18,2021.6153846153845,-0.4999999999999997,-0.8660254037844388,-0.663122658240795,-0.7485107481711013,0,0,0,134,-101,-102,-138,-182,99,57,-76,1,191.14285714285714,0
2021-08-23,0,0,0,0,0,0,0,0,1,0,0,0,0,2021,23,-124,34,19,2021.6346153846155,-0.4999999999999997,-0.8660254037844388,-0.7485107481711011,-0.6631226582407952,0,0,0,141,-94,-95,-131,-175,106,64,-69,8,190.14285714285714,0
2021-08-30,0,0,0,0,0,0,0,0,1,0,0,0,0,2021,30,-117,35,20,2021.6538461538462,-0.4999999999999997,-0.8660254037844388,-0.8229838658936564,-0.5680647467311559,0,0,0,148,-87,-88,-124,-168,113,71,-62,15,189.14285714285714,0
2021-09-06,0,0,0,0,0,0,0,0,0,1,0,0,0,2021,6,-110,36,21,2021.673076923077,-0.8660254037844384,-0.5000000000000004,-0.8854560256532096,-0.4647231720437691,0,0,0,155,-80,-81,-117,-161,120,78,-55,22,188.14285714285714,0
2021-09-13,0,0,0,0,0,0,0,0,0,1,0,0,0,2021,13,-103,37,22,2021.6923076923076,-0.8660254037844384,-0.5000000000000004,-0.9350162426854147,-0.3546048870425359,0,0,0,162,-73,-74,-110,-154,127,85,-48,29,187.14285714285714,0
2021-09-20,0,0,0,0,0,0,0,0,0,1,0,0,0,2021,20,-96,38,23,2021.7115384615386,-0.8660254037844384,-0.5000000000000004,-0.970941817426052,-0.23931566428755774,0,0,0,169,-66,-67,-103,-147,134,92,-41,36,186.14285714285714,0
2021-09-27,0,0,0,0,0,0,0,0,0,1,0,0,0,2021,27,-89,39,24,2021.7307692307693,-0.8660254037844384,-0.5000000000000004,-0.992708874098054,-0.12053668025532357,0,0,0,176,-59,-60,-96,-140,141,99,-34,43,185.14285714285714,0
2021-10-04,0,0,0,0,0,0,0,0,0,0,1,0,0,2021,4,-82,40,25,2021.75,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16,0,0,0,-182,-52,-53,-89,-133,148,106,-27,50,184.14285714285714,0
2021-10-11,0,0,0,0,0,0,0,0,0,0,1,0,0,2021,11,-75,41,26,2021.7692307692307,-1.0,-1.8369701987210297e-16,-0.992708874098054,0.1205366802553232,0,0,0,-175,-45,-46,-82,-126,155,113,-20,57,183.14285714285714,0
2021-10-18,0,0,0,0,0,0,0,0,0,0,1,0,0,2021,18,-68,42,27,2021.7884615384614,-1.0,-1.8369701987210297e-16,-0.9709418174260521,0.23931566428755738,0,0,0,-168,-38,-39,-75,-119,162,120,-13,64,182.14285714285714,0
2021-10-25,0,0,0,0,0,0,0,0,0,0,1,0,0,2021,25,-61,43,28,2021.8076923076924,-1.0,-1.8369701987210297e-16,-0.9350162426854148,0.35460488704253557,0,0,1,-161,-31,-32,-68,-112,169,127,-6,71,181.14285714285714,0
2021-11-01,0,0,0,0,0,0,0,0,0,0,0,1,0,2021,1,-54,44,29,2021.826923076923,-0.8660254037844386,0.5000000000000001,-0.8854560256532101,0.464723172043768,0,0,1,-154,-24,-25,-61,-105,176,134,1,78,180.14285714285714,0
2021-11-08,0,0,0,0,0,0,0,0,0,0,0,1,0,2021,8,-47,45,30,2021.8461538461538,-0.8660254037844386,0.5000000000000001,-0.822983865893657,0.5680647467311548,0,0,0,-147,-17,-18,-54,-98,-182,141,8,85,179.14285714285714,0
2021-11-15,0,0,0,0,0,0,0,0,0,0,0,1,0,2021,15,-40,46,31,2021.8653846153845,-0.8660254037844386,0.5000000000000001,-0.7485107481711011,0.6631226582407952,0,0,0,-140,-10,-11,-47,-91,-175,148,15,92,178.14285714285714,0
2021-11-22,0,0,0,0,0,0,0,0,0,0,0,1,0,2021,22,-33,47,32,2021.8846153846155,-0.8660254037844386,0.5000000000000001,-0.6631226582407955,0.7485107481711007,0,0,1,-133,-3,-4,-40,-84,-168,155,22,99,177.14285714285714,0
2021-11-29,0,0,0,0,0,0,0,0,0,0,0,1,0,2021,29,-26,48,33,2021.9038461538462,-0.8660254037844386,0.5000000000000001,-0.5680647467311559,0.8229838658936564,0,0,1,-126,4,3,-33,-77,-161,162,29,106,176.14285714285714,0
2021-12-06,0,0,0,0,0,0,0,0,0,0,0,0,1,2021,6,-19,49,34,2021.923076923077,-0.5000000000000004,0.8660254037844384,-0.4647231720437684,0.88545602565321,0,0,0,-119,11,10,-26,-70,-154,169,36,113,175.14285714285714,0
2021-12-13,0,0,0,0,0,0,0,0,0,0,0,0,1,2021,13,-12,50,35,2021.9423076923076,-0.5000000000000004,0.8660254037844384,-0.35460488704253595,0.9350162426854147,0,0,0,-112,18,17,-19,-63,-147,176,43,120,174.14285714285714,0
2021-12-20,0,0,0,0,0,0,0,0,0,0,0,0,1,2021,20,-5,51,36,2021.9615384615386,-0.5000000000000004,0.8660254037844384,-0.2393156642875578,0.970941817426052,0,0,1,-105,25,24,-12,-56,-140,-182,50,127,173.14285714285714,0
2021-12-27,0,0,0,0,0,0,0,0,0,0,0,0,1,2021,27,2,52,37,2021.9807692307693,-0.5000000000000004,0.8660254037844384,-0.12053668025532363,0.992708874098054,0,0,1,-98,32,31,-5,-49,-133,-175,57,134,172.14285714285714,0
2022-01-03,0,1,0,0,0,0,0,0,0,0,0,0,0,2022,3,9,1,38,2022.0,0.0,1.0,0.0,1.0,0,0,1,-104,40,39,2,-42,-125,-167,64,141,171.14285714285714,0
2022-01-10,0,1,0,0,0,0,0,0,0,0,0,0,0,2022,10,16,2,39,2022.0192307692307,0.0,1.0,0.12053668025532305,0.992708874098054,0,0,0,-97,47,46,9,-35,-118,-160,71,148,170.14285714285714,0
2022-01-17,0,1,0,0,0,0,0,0,0,0,0,0,0,2022,17,23,3,40,2022.0384615384614,0.0,1.0,0.23931566428755774,0.970941817426052,0,0,0,-90,54,53,16,-28,-111,-153,78,155,169.14285714285714,0
2022-01-24,0,1,0,0,0,0,0,0,0,0,0,0,0,2022,24,30,4,41,2022.0576923076924,0.0,1.0,0.3546048870425356,0.9350162426854148,0,0,0,-83,61,60,23,-21,-104,-146,85,162,168.14285714285714,0
2022-01-31,0,1,0,0,0,0,0,0,0,0,0,0,0,2022,31,37,5,42,2022.076923076923,0.0,1.0,0.4647231720437685,0.8854560256532099,1,0,0,-76,68,67,30,-14,-97,-139,92,169,167.14285714285714,0
2022-02-07,0,0,1,0,0,0,0,0,0,0,0,0,0,2022,7,44,6,43,2022.0961538461538,0.49999999999999994,0.8660254037844387,0.5680647467311558,0.8229838658936564,0,0,1,-69,75,74,37,-7,-90,-132,99,176,166.14285714285714,0
2022-02-14,0,0,1,0,0,0,0,0,0,0,0,0,0,2022,14,51,7,44,2022.1153846153845,0.49999999999999994,0.8660254037844387,0.6631226582407952,0.7485107481711011,0,0,1,-62,82,81,44,0,-83,-125,106,-182,165.14285714285714,0
2022-02-21,0,0,1,0,0,0,0,0,0,0,0,0,0,2022,21,58,8,45,2022.1346153846155,0.49999999999999994,0.8660254037844387,0.7485107481711011,0.6631226582407953,0,0,1,-55,89,88,51,7,-76,-118,113,-175,164.14285714285714,0
2022-02-28,0,0,1,0,0,0,0,0,0,0,0,0,0,2022,28,65,9,46,2022.1538461538462,0.49999999999999994,0.8660254037844387,0.8229838658936564,0.5680647467311559,1,0,0,-48,96,95,58,14,-69,-111,120,-168,163.14285714285714,0
2022-03-07,0,0,0,1,0,0,0,0,0,0,0,0,0,2022,7,72,10,47,2022.173076923077,0.8660254037844386,0.5000000000000001,0.8854560256532099,0.4647231720437686,0,0,0,-41,103,102,65,21,-62,-104,127,-161,162.14285714285714,0
2022-03-14,0,0,0,1,0,0,0,0,0,0,0,0,0,2022,14,79,11,48,2022.1923076923076,0.8660254037844386,0.5000000000000001,0.9350162426854148,0.35460488704253557,0,0,0,-34,110,109,72,28,-55,-97,134,-154,161.14285714285714,0
2022-03-21,0,0,0,1,0,0,0,0,0,0,0,0,0,2022,21,86,12,49,2022.2115384615386,0.8660254037844386,0.5000000000000001,0.970941817426052,0.23931566428755804,0,0,0,-27,117,116,79,35,-48,-90,141,-147,160.14285714285714,0
2022-03-28,0,0,0,1,0,0,0,0,0,0,0,0,0,2022,28,93,13,50,2022.2307692307693,0.8660254037844386,0.5000000000000001,0.992708874098054,0.120536680255323,0,0,0,-20,124,123,86,42,-41,-83,148,-140,159.14285714285714,0
2022-04-04,0,0,0,0,1,0,0,0,0,0,0,0,0,2022,4,100,14,51,2022.25,1.0,6.123233995736766e-17,1.0,-1.6081226496766364e-16,0,0,0,-13,131,130,93,49,-34,-76,155,-133,158.14285714285714,0
2022-04-11,0,0,0,0,1,0,0,0,0,0,0,0,0,2022,11,107,15,52,2022.2692307692307,1.0,6.123233995736766e-17,0.992708874098054,-0.12053668025532288,0,0,1,-6,138,137,100,56,-27,-69,162,-126,157.14285714285714,0
2022-04-18,0,0,0,0,1,0,0,0,0,0,0,0,0,2022,18,114,16,53,2022.2884615384614,1.0,6.123233995736766e-17,0.9709418174260521,-0.2393156642875575,0,0,1,1,145,144,107,63,-20,-62,169,-119,156.14285714285714,0
2022-04-25,0,0,0,0,1,0,0,0,0,0,0,0,0,2022,25,121,17,54,2022.3076923076924,1.0,6.123233995736766e-17,0.9350162426854148,-0.35460488704253545,0,0,0,8,152,151,114,70,-13,-55,176,-112,155.14285714285714,0
2022-05-02,0,0,0,0,0,1,0,0,0,0,0,0,0,2022,2,128,18,55,2022.326923076923,0.8660254037844387,-0.4999999999999998,0.8854560256532099,-0.4647231720437685,0,0,1,15,159,158,121,77,-6,-48,-182,-105,154.14285714285714,0
2022-05-09,0,0,0,0,0,1,0,0,0,0,0,0,0,2022,9,135,19,56,2022.3461538461538,0.8660254037844387,-0.4999999999999998,0.8229838658936565,-0.5680647467311557,0,0,1,22,166,165,128,84,1,-41,-175,-98,153.14285714285714,0
2022-05-16,0,0,0,0,0,1,0,0,0,0,0,0,0,2022,16,142,20,57,2022.3653846153845,0.8660254037844387,-0.4999999999999998,0.7485107481711013,-0.663122658240795,0,0,0,29,173,172,135,91,8,-34,-168,-91,152.14285714285714,0
2022-05-23,0,0,0,0,0,1,0,0,0,0,0,0,0,2022,23,149,21,58,2022.3846153846155,0.8660254037844387,-0.4999999999999998,0.6631226582407952,-0.7485107481711012,0,0,0,36,180,179,142,98,15,-27,-161,-84,151.14285714285714,0
2022-05-30,0,0,0,0,0,1,0,0,0,0,0,0,0,2022,30,156,22,59,2022.4038461538462,0.8660254037844387,-0.4999999999999998,0.5680647467311558,-0.8229838658936564,0,0,0,43,-178,-179,149,105,22,-20,-154,-77,150.14285714285714,0
2022-06-06,0,0,0,0,0,0,1,0,0,0,0,0,0,2022,6,163,23,60,2022.423076923077,0.49999999999999994,-0.8660254037844387,0.46472317204376906,-0.8854560256532096,0,0,0,50,-171,-172,156,112,29,-13,-147,-70,149.14285714285714,0
2022-06-13,0,0,0,0,0,0,1,0,0,0,0,0,0,2022,13,170,24,61,2022.4423076923076,0.49999999999999994,-0.8660254037844387,0.35460488704253584,-0.9350162426854147,0,0,1,57,-164,-165,163,119,36,-6,-140,-63,148.14285714285714,0
2022-06-20,0,0,0,0,0,0,1,0,0,0,0,0,0,2022,20,177,25,62,2022.4615384615386,0.49999999999999994,-0.8660254037844387,0.23931566428755768,-0.970941817426052,0,0,1,64,-157,-158,170,126,43,1,-133,-56,147.14285714285714,0
2022-06-27,0,0,0,0,0,0,1,0,0,0,0,0,0,2022,27,-181,26,63,2022.4807692307693,0.49999999999999994,-0.8660254037844387,0.12053668025532308,-0.992708874098054,0,0,0,71,-150,-151,177,133,50,8,-126,-49,146.14285714285714,0
2022-07-04,0,0,0,0,0,0,0,1,0,0,0,0,0,2022,4,-174,27,64,2022.5,1.2246467991473532e-16,-1.0,-3.216245299353273e-16,-1.0,0,0,0,78,-143,-144,-181,140,57,15,-119,-42,145.14285714285714,0
2022-07-11,0,0,0,0,0,0,0,1,0,0,0,0,0,2022,11,-167,28,65,2022.5192307692307,1.2246467991473532e-16,-1.0,-0.12053668025532283,-0.992708874098054,0,0,0,85,-136,-137,-174,147,64,22,-112,-35,144.14285714285714,0
2022-07-18,0,0,0,0,0,0,0,1,0,0,0,0,0,2022,18,-160,29,66,2022.5384615384614,1.2246467991473532e-16,-1.0,-0.23931566428755743,-0.9709418174260521,0,0,0,92,-129,-130,-167,154,71,29,-105,-28,143.14285714285714,0
2022-07-25,0,0,0,0,0,0,0,1,0,0,0,0,0,2022,25,-153,30,67,2022.5576923076924,1.2246467991473532e-16,-1.0,-0.3546048870425356,-0.9350162426854148,0,0,0,99,-122,-123,-160,161,78,36,-98,-21,142.14285714285714,0
2022-08-01,0,0,0,0,0,0,0,0,1,0,0,0,0,2022,1,-146,31,68,2022.576923076923,-0.4999999999999997,-0.8660254037844388,-0.46472317204376806,-0.8854560256532101,0,0,0,106,-115,-116,-153,168,85,43,-91,-14,141.14285714285714,0
2022-08-08,0,0,0,0,0,0,0,0,1,0,0,0,0,2022,8,-139,32,69,2022.5961538461538,-0.4999999999999997,-0.8660254037844388,-0.5680647467311556,-0.8229838658936565,0,0,0,113,-108,-109,-146,175,92,50,-84,-7,140.14285714285714,0
2022-08-15,0,0,0,0,0,0,0,0,1,0,0,0,0,2022,15,-132,33,70,2022.6153846153845,-0.4999999999999997,-0.8660254037844388,-0.663122658240795,-0.7485107481711013,0,0,0,120,-101,-102,-139,182,99,57,-77,0,139.14285714285714,0
2022-08-22,0,0,0,0,0,0,0,0,1,0,0,0,0,2022,22,-125,34,71,2022.6346153846155,-0.4999999999999997,-0.8660254037844388,-0.7485107481711011,-0.6631226582407952,0,0,0,127,-94,-95,-132,-176,106,64,-70,7,138.14285714285714,0
2022-08-29,0,0,0,0,0,0,0,0,1,0,0,0,0,2022,29,-118,35,72,2022.6538461538462,-0.4999999999999997,-0.8660254037844388,-0.8229838658936564,-0.5680647467311559,0,0,0,134,-87,-88,-125,-169,113,71,-63,14,137.14285714285714,0
2022-09-05,0,0,0,0,0,0,0,0,0,1,0,0,0,2022,5,-111,36,73,2022.673076923077,-0.8660254037844384,-0.5000000000000004,-0.8854560256532096,-0.4647231720437691,0,0,0,141,-80,-81,-118,-162,120,78,-56,21,136.14285714285714,0
2022-09-12,0,0,0,0,0,0,0,0,0,1,0,0,0,2022,12,-104,37,74,2022.6923076923076,-0.8660254037844384,-0.5000000000000004,-0.9350162426854147,-0.3546048870425359,0,0,0,148,-73,-74,-111,-155,127,85,-49,28,135.14285714285714,0
2022-09-19,0,0,0,0,0,0,0,0,0,1,0,0,0,2022,19,-97,38,75,2022.7115384615386,-0.8660254037844384,-0.5000000000000004,-0.970941817426052,-0.23931566428755774,0,0,0,155,-66,-67,-104,-148,134,92,-42,35,134.14285714285714,0
2022-09-26,0,0,0,0,0,0,0,0,0,1,0,0,0,2022,26,-90,39,76,2022.7307692307693,-0.8660254037844384,-0.5000000000000004,-0.992708874098054,-0.12053668025532357,0,0,0,162,-59,-60,-97,-141,141,99,-35,42,133.14285714285714,0
2022-10-03,0,0,0,0,0,0,0,0,0,0,1,0,0,2022,3,-83,40,77,2022.75,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16,0,0,0,169,-52,-53,-90,-134,148,106,-28,49,132.14285714285714,0
2022-10-10,0,0,0,0,0,0,0,0,0,0,1,0,0,2022,10,-76,41,78,2022.7692307692307,-1.0,-1.8369701987210297e-16,-0.992708874098054,0.1205366802553232,0,0,0,176,-45,-46,-83,-127,155,113,-21,56,131.14285714285714,0
2022-10-17,0,0,0,0,0,0,0,0,0,0,1,0,0,2022,17,-69,42,79,2022.7884615384614,-1.0,-1.8369701987210297e-16,-0.9709418174260521,0.23931566428755738,0,0,0,-182,-38,-39,-76,-120,162,120,-14,63,130.14285714285714,0
2022-10-24,0,0,0,0,0,0,0,0,0,0,1,0,0,2022,24,-62,43,80,2022.8076923076924,-1.0,-1.8369701987210297e-16,-0.9350162426854148,0.35460488704253557,0,0,1,-175,-31,-32,-69,-113,169,127,-7,70,129.14285714285714,0
2022-10-31,0,0,0,0,0,0,0,0,0,0,1,0,0,2022,31,-55,44,81,2022.826923076923,-1.0,-1.8369701987210297e-16,-0.8854560256532101,0.464723172043768,1,0,1,-168,-24,-25,-62,-106,176,134,0,77,128.14285714285714,0
2022-11-07,0,0,0,0,0,0,0,0,0,0,0,1,0,2022,7,-48,45,82,2022.8461538461538,-0.8660254037844386,0.5000000000000001,-0.822983865893657,0.5680647467311548,0,0,1,-161,-17,-18,-55,-99,-182,141,7,84,127.14285714285714,0
2022-11-14,0,0,0,0,0,0,0,0,0,0,0,1,0,2022,14,-41,46,83,2022.8653846153845,-0.8660254037844386,0.5000000000000001,-0.7485107481711011,0.6631226582407952,0,0,0,-154,-10,-11,-48,-92,-175,148,14,91,126.14285714285714,0
2022-11-21,0,0,0,0,0,0,0,0,0,0,0,1,0,2022,21,-34,47,84,2022.8846153846155,-0.8660254037844386,0.5000000000000001,-0.6631226582407955,0.7485107481711007,0,0,1,-147,-3,-4,-41,-85,-168,155,21,98,125.14285714285714,0
2022-11-28,0,0,0,0,0,0,0,0,0,0,0,1,0,2022,28,-27,48,85,2022.9038461538462,-0.8660254037844386,0.5000000000000001,-0.5680647467311559,0.8229838658936564,0,0,1,-140,4,3,-34,-78,-161,162,28,105,124.14285714285714,0
2022-12-05,0,0,0,0,0,0,0,0,0,0,0,0,1,2022,5,-20,49,86,2022.923076923077,-0.5000000000000004,0.8660254037844384,-0.4647231720437684,0.88545602565321,0,0,0,-133,11,10,-27,-71,-154,169,35,112,123.14285714285714,0
2022-12-12,0,0,0,0,0,0,0,0,0,0,0,0,1,2022,12,-13,50,87,2022.9423076923076,-0.5000000000000004,0.8660254037844384,-0.35460488704253595,0.9350162426854147,0,0,0,-126,18,17,-20,-64,-147,176,42,119,122.14285714285714,0
2022-12-19,0,0,0,0,0,0,0,0,0,0,0,0,1,2022,19,-6,51,88,2022.9615384615386,-0.5000000000000004,0.8660254037844384,-0.2393156642875578,0.970941817426052,0,0,1,-119,25,24,-13,-57,-140,-182,49,126,121.14285714285714,0
2022-12-26,0,0,0,0,0,0,0,0,0,0,0,0,1,2022,26,1,52,89,2022.9807692307693,-0.5000000000000004,0.8660254037844384,-0.12053668025532363,0.992708874098054,0,0,1,-112,32,31,-6,-50,-133,-175,56,133,120.14285714285714,0
2023-01-02,0,1,0,0,0,0,0,0,0,0,0,0,0,2023,2,8,1,90,2023.0,0.0,1.0,0.0,1.0,0,0,1,-97,40,39,1,-43,-132,-167,63,140,119.14285714285714,0
2023-01-09,0,1,0,0,0,0,0,0,0,0,0,0,0,2023,9,15,2,91,2023.0192307692307,0.0,1.0,0.12053668025532305,0.992708874098054,0,0,0,-90,47,46,8,-36,-125,-160,70,147,118.14285714285714,0
2023-01-16,0,1,0,0,0,0,0,0,0,0,0,0,0,2023,16,22,3,92,2023.0384615384614,0.0,1.0,0.23931566428755774,0.970941817426052,0,0,0,-83,54,53,15,-29,-118,-153,77,154,117.14285714285714,0
2023-01-23,0,1,0,0,0,0,0,0,0,0,0,0,0,2023,23,29,4,93,2023.0576923076924,0.0,1.0,0.3546048870425356,0.9350162426854148,0,0,0,-76,61,60,22,-22,-111,-146,84,161,116.14285714285714,0
2023-01-30,0,1,0,0,0,0,0,0,0,0,0,0,0,2023,30,36,5,94,2023.076923076923,0.0,1.0,0.4647231720437685,0.8854560256532099,0,0,0,-69,68,67,29,-15,-104,-139,91,168,115.14285714285714,0
2023-02-06,0,0,1,0,0,0,0,0,0,0,0,0,0,2023,6,43,6,95,2023.0961538461538,0.49999999999999994,0.8660254037844387,0.5680647467311558,0.8229838658936564,0,0,0,-62,75,74,36,-8,-97,-132,98,175,114.14285714285714,0
2023-02-13,0,0,1,0,0,0,0,0,0,0,0,0,0,2023,13,50,7,96,2023.1153846153845,0.49999999999999994,0.8660254037844387,0.6631226582407952,0.7485107481711011,0,0,1,-55,82,81,43,-1,-90,-125,105,182,113.14285714285714,0
2023-02-20,0,0,1,0,0,0,0,0,0,0,0,0,0,2023,20,57,8,97,2023.1346153846155,0.49999999999999994,0.8660254037844387,0.7485107481711011,0.6631226582407953,0,0,1,-48,89,88,50,6,-83,-118,112,-176,112.14285714285714,0
2023-02-27,0,0,1,0,0,0,0,0,0,0,0,0,0,2023,27,64,9,98,2023.1538461538462,0.49999999999999994,0.8660254037844387,0.8229838658936564,0.5680647467311559,0,0,0,-41,96,95,57,13,-76,-111,119,-169,111.14285714285714,0
2023-03-06,0,0,0,1,0,0,0,0,0,0,0,0,0,2023,6,71,10,99,2023.173076923077,0.8660254037844386,0.5000000000000001,0.8854560256532099,0.4647231720437686,0,0,0,-34,103,102,64,20,-69,-104,126,-162,110.14285714285714,0
2023-03-13,0,0,0,1,0,0,0,0,0,0,0,0,0,2023,13,78,11,100,2023.1923076923076,0.8660254037844386,0.5000000000000001,0.9350162426854148,0.35460488704253557,0,0,0,-27,110,109,71,27,-62,-97,133,-155,109.14285714285714,0
2023-03-20,0,0,0,1,0,0,0,0,0,0,0,0,0,2023,20,85,12,101,2023.2115384615386,0.8660254037844386,0.5000000000000001,0.970941817426052,0.23931566428755804,0,0,0,-20,117,116,78,34,-55,-90,140,-148,108.14285714285714,0
2023-03-27,0,0,0,1,0,0,0,0,0,0,0,0,0,2023,27,92,13,102,2023.2307692307693,0.8660254037844386,0.5000000000000001,0.992708874098054,0.120536680255323,0,0,0,-13,124,123,85,41,-48,-83,147,-141,107.14285714285714,0
2023-04-03,0,0,0,0,1,0,0,0,0,0,0,0,0,2023,3,99,14,103,2023.25,1.0,6.123233995736766e-17,1.0,-1.6081226496766364e-16,0,0,1,-6,131,130,92,48,-41,-76,154,-134,106.14285714285714,0
2023-04-10,0,0,0,0,1,0,0,0,0,0,0,0,0,2023,10,106,15,104,2023.2692307692307,1.0,6.123233995736766e-17,0.992708874098054,-0.12053668025532288,0,0,1,1,138,137,99,55,-34,-69,161,-127,105.14285714285714,0
2023-04-17,0,0,0,0,1,0,0,0,0,0,0,0,0,2023,17,113,16,105,2023.2884615384614,1.0,6.123233995736766e-17,0.9709418174260521,-0.2393156642875575,0,0,0,8,145,144,106,62,-27,-62,168,-120,104.14285714285714,0
