date,day_of_week,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,year,day_of_month,days_from_christmas
2021-10-04,0,0,0,0,0,0,0,0,0,0,1,0,0,2021,4,-82
2021-10-11,0,0,0,0,0,0,0,0,0,0,1,0,0,2021,11,-75
2021-10-18,0,0,0,0,0,0,0,0,0,0,1,0,0,2021,18,-68
2021-10-25,0,0,0,0,0,0,0,0,0,0,1,0,0,2021,25,-61
2021-11-01,0,0,0,0,0,0,0,0,0,0,0,1,0,2021,1,-54
2021-11-08,0,0,0,0,0,0,0,0,0,0,0,1,0,2021,8,-47
2021-11-15,0,0,0,0,0,0,0,0,0,0,0,1,0,2021,15,-40
2021-11-22,0,0,0,0,0,0,0,0,0,0,0,1,0,2021,22,-33
2021-11-29,0,0,0,0,0,0,0,0,0,0,0,1,0,2021,29,-26
2021-12-06,0,0,0,0,0,0,0,0,0,0,0,0,1,2021,6,-19
2021-12-13,0,0,0,0,0,0,0,0,0,0,0,0,1,2021,13,-12
2021-12-20,0,0,0,0,0,0,0,0,0,0,0,0,1,2021,20,-5
2021-12-27,0,0,0,0,0,0,0,0,0,0,0,0,1,2021,27,2
2022-01-03,0,1,0,0,0,0,0,0,0,0,0,0,0,2022,3,9
2022-01-10,0,1,0,0,0,0,0,0,0,0,0,0,0,2022,10,16
2022-01-17,0,1,0,0,0,0,0,0,0,0,0,0,0,2022,17,23
2022-01-24,0,1,0,0,0,0,0,0,0,0,0,0,0,2022,24,30
2022-01-31,0,1,0,0,0,0,0,0,0,0,0,0,0,2022,31,37
2022-02-07,0,0,1,0,0,0,0,0,0,0,0,0,0,2022,7,44
2022-02-14,0,0,1,0,0,0,0,0,0,0,0,0,0,2022,14,51
2022-02-21,0,0,1,0,0,0,0,0,0,0,0,0,0,2022,21,58
2022-02-28,0,0,1,0,0,0,0,0,0,0,0,0,0,2022,28,65
2022-03-07,0,0,0,1,0,0,0,0,0,0,0,0,0,2022,7,72
2022-03-14,0,0,0,1,0,0,0,0,0,0,0,0,0,2022,14,79
2022-03-21,0,0,0,1,0,0,0,0,0,0,0,0,0,2022,21,86
2022-03-28,0,0,0,1,0,0,0,0,0,0,0,0,0,2022,28,93
2022-04-04,0,0,0,0,1,0,0,0,0,0,0,0,0,2022,4,100
2022-04-11,0,0,0,0,1,0,0,0,0,0,0,0,0,2022,11,107
2022-04-18,0,0,0,0,1,0,0,0,0,0,0,0,0,2022,18,114
2022-04-25,0,0,0,0,1,0,0,0,0,0,0,0,0,2022,25,121
2022-05-02,0,0,0,0,0,1,0,0,0,0,0,0,0,2022,2,128
2022-05-09,0,0,0,0,0,1,0,0,0,0,0,0,0,2022,9,135
2022-05-16,0,0,0,0,0,1,0,0,0,0,0,0,0,2022,16,142
2022-05-23,0,0,0,0,0,1,0,0,0,0,0,0,0,2022,23,149
2022-05-30,0,0,0,0,0,1,0,0,0,0,0,0,0,2022,30,156
2022-06-06,0,0,0,0,0,0,1,0,0,0,0,0,0,2022,6,163
2022-06-13,0,0,0,0,0,0,1,0,0,0,0,0,0,2022,13,170
2022-06-20,0,0,0,0,0,0,1,0,0,0,0,0,0,2022,20,177
2022-06-27,0,0,0,0,0,0,1,0,0,0,0,0,0,2022,27,-181
2022-07-04,0,0,0,0,0,0,0,1,0,0,0,0,0,2022,4,-174
2022-07-11,0,0,0,0,0,0,0,1,0,0,0,0,0,2022,11,-167
2022-07-18,0,0,0,0,0,0,0,1,0,0,0,0,0,2022,18,-160
2022-07-25,0,0,0,0,0,0,0,1,0,0,0,0,0,2022,25,-153
2022-08-01,0,0,0,0,0,0,0,0,1,0,0,0,0,2022,1,-146
2022-08-08,0,0,0,0,0,0,0,0,1,0,0,0,0,2022,8,-139
2022-08-15,0,0,0,0,0,0,0,0,1,0,0,0,0,2022,15,-132
2022-08-22,0,0,0,0,0,0,0,0,1,0,0,0,0,2022,22,-125
2022-08-29,0,0,0,0,0,0,0,0,1,0,0,0,0,2022,29,-118
2022-09-05,0,0,0,0,0,0,0,0,0,1,0,0,0,2022,5,-111
2022-09-12,0,0,0,0,0,0,0,0,0,1,0,0,0,2022,12,-104
2022-09-19,0,0,0,0,0,0,0,0,0,1,0,0,0,2022,19,-97
2022-09-26,0,0,0,0,0,0,0,0,0,1,0,0,0,2022,26,-90
2022-10-03,0,0,0,0,0,0,0,0,0,0,1,0,0,2022,3,-83
2022-10-10,0,0,0,0,0,0,0,0,0,0,1,0,0,2022,10,-76
2022-10-17,0,0,0,0,0,0,0,0,0,0,1,0,0,2022,17,-69
2022-10-24,0,0,0,0,0,0,0,0,0,0,1,0,0,2022,24,-62
2022-10-31,0,0,0,0,0,0,0,0,0,0,1,0,0,2022,31,-55
2022-11-07,0,0,0,0,0,0,0,0,0,0,0,1,0,2022,7,-48
2022-11-14,0,0,0,0,0,0,0,0,0,0,0,1,0,2022,14,-41
2022-11-21,0,0,0,0,0,0,0,0,0,0,0,1,0,2022,21,-34
2022-11-28,0,0,0,0,0,0,0,0,0,0,0,1,0,2022,28,-27
2022-12-05,0,0,0,0,0,0,0,0,0,0,0,0,1,2022,5,-20
2022-12-12,0,0,0,0,0,0,0,0,0,0,0,0,1,2022,12,-13
2022-12-19,0,0,0,0,0,0,0,0,0,0,0,0,1,2022,19,-6
2022-12-26,0,0,0,0,0,0,0,0,0,0,0,0,1,2022,26,1
2023-01-02,0,1,0,0,0,0,0,0,0,0,0,0,0,2023,2,8
2023-01-09,0,1,0,0,0,0,0,0,0,0,0,0,0,2023,9,15
2023-01-16,0,1,0,0,0,0,0,0,0,0,0,0,0,2023,16,22
2023-01-23,0,1,0,0,0,0,0,0,0,0,0,0,0,2023,23,29
2023-01-30,0,1,0,0,0,0,0,0,0,0,0,0,0,2023,30,36
2023-02-06,0,0,1,0,0,0,0,0,0,0,0,0,0,2023,6,43
2023-02-13,0,0,1,0,0,0,0,0,0,0,0,0,0,2023,13,50
2023-02-20,0,0,1,0,0,0,0,0,0,0,0,0,0,2023,20,57
2023-02-27,0,0,1,0,0,0,0,0,0,0,0,0,0,2023,27,64
2023-03-06,0,0,0,1,0,0,0,0,0,0,0,0,0,2023,6,71
2023-03-13,0,0,0,1,0,0,0,0,0,0,0,0,0,2023,13,78
2023-03-20,0,0,0,1,0,0,0,0,0,0,0,0,0,2023,20,85
2023-03-27,0,0,0,1,0,0,0,0,0,0,0,0,0,2023,27,92
2023-04-03,0,0,0,0,1,0,0,0,0,0,0,0,0,2023,3,99
2023-04-10,0,0,0,0,1,0,0,0,0,0,0,0,0,2023,10,106
2023-04-17,0,0,0,0,1,0,0,0,0,0,0,0,0,2023,17,113
2023-04-24,0,0,0,0,1,0,0,0,0,0,0,0,0,2023,24,120
2023-05-01,0,0,0,0,0,1,0,0,0,0,0,0,0,2023,1,127
2023-05-08,0,0,0,0,0,1,0,0,0,0,0,0,0,2023,8,134
2023-05-15,0,0,0,0,0,1,0,0,0,0,0,0,0,2023,15,141
2023-05-22,0,0,0,0,0,1,0,0,0,0,0,0,0,2023,22,148
2023-05-29,0,0,0,0,0,1,0,0,0,0,0,0,0,2023,29,155
2023-06-05,0,0,0,0,0,0,1,0,0,0,0,0,0,2023,5,162
2023-06-12,0,0,0,0,0,0,1,0,0,0,0,0,0,2023,12,169
2023-06-19,0,0,0,0,0,0,1,0,0,0,0,0,0,2023,19,176
2023-06-26,0,0,0,0,0,0,1,0,0,0,0,0,0,2023,26,-182
2023-07-03,0,0,0,0,0,0,0,1,0,0,0,0,0,2023,3,-175
2023-07-10,0,0,0,0,0,0,0,1,0,0,0,0,0,2023,10,-168
2023-07-17,0,0,0,0,0,0,0,1,0,0,0,0,0,2023,17,-161
2023-07-24,0,0,0,0,0,0,0,1,0,0,0,0,0,2023,24,-154
2023-07-31,0,0,0,0,0,0,0,1,0,0,0,0,0,2023,31,-147
2023-08-07,0,0,0,0,0,0,0,0,1,0,0,0,0,2023,7,-140
2023-08-14,0,0,0,0,0,0,0,0,1,0,0,0,0,2023,14,-133
2023-08-21,0,0,0,0,0,0,0,0,1,0,0,0,0,2023,21,-126
2023-08-28,0,0,0,0,0,0,0,0,1,0,0,0,0,2023,28,-119
2023-09-04,0,0,0,0,0,0,0,0,0,1,0,0,0,2023,4,-112
2023-09-11,0,0,0,0,0,0,0,0,0,1,0,0,0,2023,11,-105
2023-09-18,0,0,0,0,0,0,0,0,0,1,0,0,0,2023,18,-98
2023-09-25,0,0,0,0,0,0,0,0,0,1,0,0,0,2023,25,-91
2023-10-02,0,0,0,0,0,0,0,0,0,0,1,0,0,2023,2,-84
2023-10-09,0,0,0,0,0,0,0,0,0,0,1,0,0,2023,9,-77
2023-10-16,0,0,0,0,0,0,0,0,0,0,1,0,0,2023,16,-70
2023-10-23,0,0,0,0,0,0,0,0,0,0,1,0,0,2023,23,-63
2023-10-30,0,0,0,0,0,0,0,0,0,0,1,0,0,2023,30,-56
2023-11-06,0,0,0,0,0,0,0,0,0,0,0,1,0,2023,6,-49
2023-11-13,0,0,0,0,0,0,0,0,0,0,0,1,0,2023,13,-42
2023-11-20,0,0,0,0,0,0,0,0,0,0,0,1,0,2023,20,-35
2023-11-27,0,0,0,0,0,0,0,0,0,0,0,1,0,2023,27,-28
2023-12-04,0,0,0,0,0,0,0,0,0,0,0,0,1,2023,4,-21
2023-12-11,0,0,0,0,0,0,0,0,0,0,0,0,1,2023,11,-14
2023-12-18,0,0,0,0,0,0,0,0,0,0,0,0,1,2023,18,-7
2023-12-25,0,0,0,0,0,0,0,0,0,0,0,0,1,2023,25,0
2024-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,2024,1,7
2024-01-08,0,1,0,0,0,0,0,0,0,0,0,0,0,2024,8,14
2024-01-15,0,1,0,0,0,0,0,0,0,0,0,0,0,2024,15,21
2024-01-22,0,1,0,0,0,0,0,0,0,0,0,0,0,2024,22,28
2024-01-29,0,1,0,0,0,0,0,0,0,0,0,0,0,2024,29,35
2024-02-05,0,0,1,0,0,0,0,0,0,0,0,0,0,2024,5,42
2024-02-12,0,0,1,0,0,0,0,0,0,0,0,0,0,2024,12,49
2024-02-19,0,0,1,0,0,0,0,0,0,0,0,0,0,2024,19,56
2024-02-26,0,0,1,0,0,0,0,0,0,0,0,0,0,2024,26,63
2024-03-04,0,0,0,1,0,0,0,0,0,0,0,0,0,2024,4,70
2024-03-11,0,0,0,1,0,0,0,0,0,0,0,0,0,2024,11,77
2024-03-18,0,0,0,1,0,0,0,0,0,0,0,0,0,2024,18,84
2024-03-25,0,0,0,1,0,0,0,0,0,0,0,0,0,2024,25,91
2024-04-01,0,0,0,0,1,0,0,0,0,0,0,0,0,2024,1,98
2024-04-08,0,0,0,0,1,0,0,0,0,0,0,0,0,2024,8,105
2024-04-15,0,0,0,0,1,0,0,0,0,0,0,0,0,2024,15,112
