store_nbr,item_nbr,family,class,perishable
1,1463591,BEVERAGES,1190,0
1,1463596,BEVERAGES,1190,0
1,1463602,BEVERAGES,1190,0
1,1463603,BEVERAGES,1190,0
1,1463604,BEVERAGES,1190,0
1,1463609,BEVERAGES,1190,0
1,1463610,BEVERAGES,1190,0
1,1463620,BEVERAGES,1114,0
1,1463626,BEVERAGES,1118,0
1,1463632,BEVERAGES,1148,0
1,1463637,BEVERAGES,1148,0
1,1463693,BEVERAGES,1190,0
1,1463707,BEVERAGES,1116,0
1,1463767,BEVERAGES,1114,0
1,1463769,BEVERAGES,1114,0
1,1463771,BEVERAGES,1114,0
1,1463772,BEVERAGES,1114,0
1,1463773,BEVERAGES,1114,0
1,1463783,BEVERAGES,1114,0
1,1463784,BEVERAGES,1114,0
1,1463799,BEVERAGES,1118,0
1,1463800,BEVERAGES,1118,0
1,1463801,BEVERAGES,1118,0
1,1463805,BEVERAGES,1146,0
1,1463806,BEVERAGES,1146,0
1,1463807,BEVERAGES,1146,0
1,1463808,BEVERAGES,1146,0
1,1463810,BEVERAGES,1148,0
1,1463814,BEVERAGES,1148,0
1,1463819,BEVERAGES,1148,0
1,1463823,BEVERAGES,1148,0
1,1463825,BEVERAGES,1148,0
1,1463857,BEVERAGES,1148,0
1,1463860,BEVERAGES,1148,0
1,1463862,BEVERAGES,1148,0
1,1463865,BEVERAGES,1148,0
1,1463885,BEVERAGES,1144,0
1,1463886,BEVERAGES,1144,0
1,1463888,BEVERAGES,1144,0
1,1463896,BEVERAGES,1144,0
1,1463897,BEVERAGES,1144,0
1,1463900,BEVERAGES,1144,0
1,1463934,BEVERAGES,1116,0
1,1463936,BEVERAGES,1116,0
1,1463992,BEVERAGES,1144,0
1,1463993,BEVERAGES,1144,0
1,1463994,BEVERAGES,1144,0
1,1463995,BEVERAGES,1148,0
1,1463998,BEVERAGES,1148,0
1,1464002,BEVERAGES,1148,0
1,1464005,BEVERAGES,1148,0
1,1464008,BEVERAGES,1148,0
1,1464010,BEVERAGES,1148,0
1,1464027,BEVERAGES,1148,0
1,1464034,BEVERAGES,1148,0
1,1464038,BEVERAGES,1148,0
1,1464039,BEVERAGES,1116,0
1,1464041,BEVERAGES,1144,0
1,1464042,BEVERAGES,1144,0
1,1464045,BEVERAGES,1114,0
1,1464065,BEVERAGES,1190,0
1,1464071,BEVERAGES,1190,0
1,1464072,BEVERAGES,1190,0
1,1464076,BEVERAGES,1190,0
1,1464077,BEVERAGES,1190,0
1,1464079,BEVERAGES,1190,0
1,1464081,BEVERAGES,1190,0
1,1464082,BEVERAGES,1190,0
1,1464086,BEVERAGES,1144,0
1,1464087,BEVERAGES,1144,0
1,1464088,BEVERAGES,1144,0
1,1464091,BEVERAGES,1148,0
1,1464092,BEVERAGES,1148,0
1,1464094,BEVERAGES,1148,0
1,1464095,BEVERAGES,1148,0
1,1464099,BEVERAGES,1148,0
1,1464137,BEVERAGES,1190,0
1,1464192,BEVERAGES,1190,0
1,1464201,BEVERAGES,1190,0
1,1464207,BEVERAGES,1114,0
1,1464209,BEVERAGES,1114,0
1,1464210,BEVERAGES,1114,0
1,1464217,BEVERAGES,1116,0
1,1464239,BEVERAGES,1144,0
1,1464941,BEVERAGES,1148,0
1,1465644,LINGERIE,7016,0
1,1466039,BEVERAGES,1114,0
1,1466826,GROCERY I,1048,0
1,1466827,GROCERY I,1048,0
1,1466830,HOME CARE,3106,0
1,1466833,HOME CARE,3106,0
1,1466835,HOME CARE,3106,0
1,1466836,HOME CARE,3106,0
1,1471143,GROCERY I,1092,0
1,1471722,PET SUPPLIES,6516,0
1,1471903,PET SUPPLIES,6516,0
1,1472453,PERSONAL CARE,4126,0
1,1472485,PET SUPPLIES,6517,0
1,1472487,PET SUPPLIES,6517,0
1,1472489,PET SUPPLIES,6517,0
1,1533338,CELEBRATION,5322,0
1,1533357,CELEBRATION,5322,0
1,1533358,CELEBRATION,5322,0
1,1533365,CELEBRATION,5322,0
1,1575223,PLAYERS AND ELECTRONICS,5446,0
1,1575235,PLAYERS AND ELECTRONICS,5446,0
1,1575237,PLAYERS AND ELECTRONICS,5446,0
1,1575246,PLAYERS AND ELECTRONICS,5446,0
1,1575252,PLAYERS AND ELECTRONICS,5446,0
1,1576262,CELEBRATION,5324,0
1,1576265,CELEBRATION,5324,0
1,1576285,CELEBRATION,5324,0
1,1576322,CELEBRATION,5324,0
1,1576327,CELEBRATION,5324,0
1,1576328,CELEBRATION,5324,0
1,1576329,CELEBRATION,5324,0
1,1576332,CELEBRATION,5324,0
1,1583407,SCHOOL AND OFFICE SUPPLIES,6404,0
1,1583522,SCHOOL AND OFFICE SUPPLIES,6448,0
1,1583544,SCHOOL AND OFFICE SUPPLIES,6448,0
1,1584297,LADIESWEAR,7780,0
1,1584298,LADIESWEAR,7780,0
1,1584301,LADIESWEAR,7780,0
1,1584303,LADIESWEAR,7780,0
1,1584305,LADIESWEAR,7780,0
1,1584307,LADIESWEAR,7780,0
1,1584309,LADIESWEAR,7780,0
1,1584344,LADIESWEAR,7780,0
1,1584348,LADIESWEAR,7780,0
1,1584353,LADIESWEAR,7780,0
1,1584369,LADIESWEAR,7780,0
1,1584374,LADIESWEAR,7780,0
1,1584390,LADIESWEAR,7780,0
1,1584399,LADIESWEAR,7780,0
1,1717134,CELEBRATION,5308,0
1,1765164,CELEBRATION,5325,0
1,1898959,BEVERAGES,1126,0
1,1898960,BEVERAGES,1126,0
1,1898961,BEVERAGES,1126,0
1,1898998,GROCERY I,1028,0
1,1900715,PERSONAL CARE,4126,0
1,1903391,HARDWARE,6706,0
1,1903428,AUTOMOTIVE,6808,0
1,1905638,GROCERY I,1028,0
1,1905800,PERSONAL CARE,4138,0
1,1908340,HOME CARE,3110,0
1,1909408,CLEANING,3038,0
1,1909409,CLEANING,3038,0
1,1909411,HOME CARE,3106,0
1,1909453,HOME AND KITCHEN II,6392,0
1,1909482,HOME AND KITCHEN II,6392,0
1,1909483,HOME AND KITCHEN II,6392,0
1,1909748,HOME AND KITCHEN I,6222,0
1,1911102,GROCERY I,1074,0
1,1911336,BEAUTY,4210,0
1,1912671,GROCERY I,1062,0
1,1913055,PERSONAL CARE,4126,0
1,1913257,CLEANING,3032,0
1,1913258,CLEANING,3032,0
1,1913595,PERSONAL CARE,4118,0
1,1913596,PERSONAL CARE,4118,0
1,1913599,PERSONAL CARE,4118,0
1,1913604,PERSONAL CARE,4118,0
1,1913813,GROCERY I,1024,0
1,1914277,BEVERAGES,1136,0
1,1914279,BEVERAGES,1136,0
1,1914280,BEVERAGES,1136,0
1,1914367,GROCERY I,1092,0
1,1914503,HOME CARE,3102,0
1,1914786,BEVERAGES,1120,0
1,1915000,PERSONAL CARE,4122,0
1,1915036,HOME CARE,3108,0
1,1915102,GROCERY I,1044,0
1,1916209,GROCERY I,1026,0
1,1919937,GROCERY I,1016,0
1,1919977,GROCERY I,1016,0
1,1920016,GROCERY I,1016,0
1,1920035,GROCERY I,1016,0
1,1920045,GROCERY I,1016,0
1,1920046,GROCERY I,1016,0
1,1920057,GROCERY I,1016,0
1,1920059,GROCERY I,1016,0
1,1920067,GROCERY I,1016,0
1,1920071,GROCERY I,1016,0
1,1920080,GROCERY I,1016,0
1,1920084,GROCERY I,1016,0
1,1920096,GROCERY I,1016,0
1,1920117,GROCERY I,1016,0
1,1920141,GROCERY I,1016,0
1,1922657,PERSONAL CARE,4114,0
1,1923218,GROCERY I,1034,0
1,1926105,BEVERAGES,1148,0
1,1929797,GROCERY I,1016,0
1,1930967,GROCERY I,1004,0
1,1932491,BEVERAGES,1122,0
1,1932492,BEVERAGES,1122,0
1,1932493,BEVERAGES,1122,0
1,1933240,GROCERY I,1076,0
1,1935459,PERSONAL CARE,4130,0
1,1935465,BEAUTY,4212,0
1,1936173,GROCERY I,1004,0
1,1937443,GROCERY I,1002,0
1,1937454,BEVERAGES,1120,0
1,1937608,GROCERY I,1034,0
1,1937662,GROCERY I,1034,0
1,1938021,PERSONAL CARE,4138,0
1,1939144,HOME CARE,3106,0
1,1939221,BEVERAGES,1124,0
1,1939531,BEVERAGES,1144,0
1,1942510,BEVERAGES,1122,0
1,1943792,BEVERAGES,1114,0
1,1946668,GROCERY I,1016,0
1,1948220,HOME AND KITCHEN II,6350,0
1,1948372,"LIQUOR,WINE,BEER",1320,0
1,1948483,BEVERAGES,1124,0
1,1949872,GROCERY I,1016,0
1,1950170,BEVERAGES,1132,0
1,1950263,GROCERY I,1030,0
1,1950301,MAGAZINES,5222,0
1,1950405,BEVERAGES,1114,0
1,1950703,CLEANING,3030,0
1,1950890,GROCERY I,1076,0
1,1954766,HOME AND KITCHEN I,6269,0
1,1954771,GROCERY II,1236,0
1,1956004,GROCERY I,1076,0
1,1956354,HOME CARE,3106,0
1,1956479,GROCERY I,1026,0
1,1956622,GROCERY I,1018,0
1,1957773,GROCERY I,1003,0
1,1958166,BEVERAGES,1142,0
1,1958171,BEVERAGES,1142,0
1,1958177,BEVERAGES,1142,0
1,1958179,BEVERAGES,1142,0
1,1958181,BEVERAGES,1142,0
1,1958185,BEVERAGES,1142,0
1,1958186,BEVERAGES,1142,0
1,1958189,BEVERAGES,1142,0
1,1958193,BEVERAGES,1142,0
1,1958200,BEVERAGES,1142,0
1,1958217,BEVERAGES,1142,0
1,1958219,BEVERAGES,1142,0
1,1958268,GROCERY I,1042,0
1,1962621,BEVERAGES,1124,0
1,1963324,PLAYERS AND ELECTRONICS,5446,0
1,1963330,PLAYERS AND ELECTRONICS,5446,0
1,1963348,PLAYERS AND ELECTRONICS,5446,0
1,1963684,HOME AND KITCHEN I,6246,0
1,1964850,BEVERAGES,1120,0
1,1965539,CLEANING,3018,0
1,1971792,HOME AND KITCHEN I,6242,0
1,1972039,HOME AND KITCHEN I,6242,0
1,1972227,HOME AND KITCHEN I,6242,0
1,1972316,HOME AND KITCHEN I,6242,0
1,1972443,HOME AND KITCHEN I,6242,0
1,1972822,HOME AND KITCHEN I,6242,0
1,1973606,GROCERY I,1026,0
1,1973919,BEVERAGES,1124,0
1,1981900,PERSONAL CARE,4138,0
1,1986680,BEVERAGES,1142,0
1,1986760,HOME CARE,3110,0
1,1987152,GROCERY I,1040,0
1,2010125,GROCERY I,1052,0
1,2010315,PERSONAL CARE,4126,0
1,2010329,GROCERY I,1072,0
1,2010370,GROCERY I,1072,0
2,315179,BEVERAGES,1124,0
2,315322,GROCERY I,1084,0
2,315463,GROCERY II,1236,0
2,315712,GROCERY I,1072,0
2,315713,GROCERY I,1072,0
2,315753,GROCERY I,1030,0
2,329071,GROCERY I,1032,0
2,361502,GROCERY I,1036,0
2,362035,GROCERY I,1044,0
2,362548,GROCERY I,1042,0
2,363049,PERSONAL CARE,4114,0
2,363868,GROCERY I,1016,0
2,363889,GROCERY I,1058,0
2,364724,GROCERY I,1084,0
2,364865,GROCERY II,1236,0
2,365138,GROCERY I,1072,0
2,365139,GROCERY I,1072,0
2,368140,GROCERY I,1040,0
2,368260,GROCERY I,1028,0
2,368424,GROCERY I,1078,0
2,368624,BEVERAGES,1122,0
2,368628,BEVERAGES,1122,0
2,369432,GROCERY I,1036,0
2,370042,GROCERY I,1080,0
2,401911,CLEANING,3012,0
2,402174,GROCERY I,1096,0
2,404336,GROCERY I,1045,0
2,462673,GROCERY I,1048,0
2,463458,CLEANING,3020,0
2,463598,CLEANING,3024,0
2,464302,GROCERY I,1026,0
2,464334,GROCERY I,1040,0
2,464907,GROCERY I,1056,0
2,464940,CLEANING,3090,0
2,467887,GROCERY I,1076,0
2,913968,GROCERY I,1036,0
2,915310,PERSONAL CARE,4126,0
2,939662,GROCERY I,1045,0
2,940665,BEVERAGES,1124,0
2,949243,PERSONAL CARE,4126,0
2,949296,CLEANING,3020,0
2,949299,CLEANING,3020,0
