date,day_of_week,month,year,day_of_month,days_from_christmas,christmas,earthquake
2015-12-01,2,12,2015,1,-24,0,0
2015-12-08,2,12,2015,8,-17,0,0
2015-12-15,2,12,2015,15,-10,0,0
2015-12-22,2,12,2015,22,-3,1,0
2015-12-29,2,12,2015,29,4,0,0
2016-01-05,2,1,2016,5,11,0,0
2016-01-12,2,1,2016,12,18,0,0
2016-01-19,2,1,2016,19,25,0,0
2016-01-26,2,1,2016,26,32,0,0
2016-02-02,2,2,2016,2,39,0,0
2016-02-09,2,2,2016,9,46,0,0
2016-02-16,2,2,2016,16,53,0,0
2016-02-23,2,2,2016,23,60,0,0
2016-03-01,2,3,2016,1,67,0,0
2016-03-08,2,3,2016,8,74,0,0
2016-03-15,2,3,2016,15,81,0,0
2016-03-22,2,3,2016,22,88,0,0
2016-03-29,2,3,2016,29,95,0,0
2016-04-05,2,4,2016,5,102,0,0
2016-04-12,2,4,2016,12,109,0,1
2016-04-19,2,4,2016,19,116,0,0
2016-04-26,2,4,2016,26,123,0,0
2016-05-03,2,5,2016,3,130,0,0
2016-05-10,2,5,2016,10,137,0,0
2016-05-17,2,5,2016,17,144,0,0
2016-05-24,2,5,2016,24,151,0,0
2016-05-31,2,5,2016,31,158,0,0
2016-06-07,2,6,2016,7,165,0,0
2016-06-14,2,6,2016,14,172,0,0
2016-06-21,2,6,2016,21,179,0,0
2016-06-28,2,6,2016,28,-180,0,0
2016-07-05,2,7,2016,5,-173,0,0
2016-07-12,2,7,2016,12,-166,0,0
2016-07-19,2,7,2016,19,-159,0,0
2016-07-26,2,7,2016,26,-152,0,0
2016-08-02,2,8,2016,2,-145,0,0
2016-08-09,2,8,2016,9,-138,0,0
2016-08-16,2,8,2016,16,-131,0,0
2016-08-23,2,8,2016,23,-124,0,0
2016-08-30,2,8,2016,30,-117,0,0
2016-09-06,2,9,2016,6,-110,0,0
2016-09-13,2,9,2016,13,-103,0,0
2016-09-20,2,9,2016,20,-96,0,0
2016-09-27,2,9,2016,27,-89,0,0
2016-10-04,2,10,2016,4,-82,0,0
2016-10-11,2,10,2016,11,-75,0,0
2016-10-18,2,10,2016,18,-68,0,0
2016-10-25,2,10,2016,25,-61,0,0
2016-11-01,2,11,2016,1,-54,0,0
2016-11-08,2,11,2016,8,-47,0,0
2016-11-15,2,11,2016,15,-40,0,0
2016-11-22,2,11,2016,22,-33,0,0
2016-11-29,2,11,2016,29,-26,0,0
2016-12-06,2,12,2016,6,-19,0,0
2016-12-13,2,12,2016,13,-12,0,0
2016-12-20,2,12,2016,20,-5,1,0
2016-12-27,2,12,2016,27,2,0,0
2017-01-03,2,1,2017,3,9,0,0
2017-01-10,2,1,2017,10,16,0,0
2017-01-17,2,1,2017,17,23,0,0
2017-01-24,2,1,2017,24,30,0,0
2017-01-31,2,1,2017,31,37,0,0
2017-02-07,2,2,2017,7,44,0,0
2017-02-14,2,2,2017,14,51,0,0
2017-02-21,2,2,2017,21,58,0,0
2017-02-28,2,2,2017,28,65,0,0
2017-03-07,2,3,2017,7,72,0,0
2017-03-14,2,3,2017,14,79,0,0
2017-03-21,2,3,2017,21,86,0,0
2017-03-28,2,3,2017,28,93,0,0
2017-04-04,2,4,2017,4,100,0,0
2017-04-11,2,4,2017,11,107,0,0
2017-04-18,2,4,2017,18,114,0,0
2017-04-25,2,4,2017,25,121,0,0
2017-05-02,2,5,2017,2,128,0,0
2017-05-09,2,5,2017,9,135,0,0
2017-05-16,2,5,2017,16,142,0,0
2017-05-23,2,5,2017,23,149,0,0
2017-05-30,2,5,2017,30,156,0,0
2017-06-06,2,6,2017,6,163,0,0
2017-06-13,2,6,2017,13,170,0,0
2017-06-20,2,6,2017,20,177,0,0
2017-06-27,2,6,2017,27,-181,0,0
2017-07-04,2,7,2017,4,-174,0,0
2017-07-11,2,7,2017,11,-167,0,0
2017-07-18,2,7,2017,18,-160,0,0
2017-07-25,2,7,2017,25,-153,0,0
2017-08-01,2,8,2017,1,-146,0,0
2017-08-08,2,8,2017,8,-139,0,0
2017-08-15,2,8,2017,15,-132,0,0
